wikitree_id,name
Person-I654052706,Joseph /England/
Person-I654053570,Joseph /England/
Person-I654053619,William /England/
Person-I654053620,Elizabeth /Willcox/
Person-I654053621,Charity /Cole/
Person-I654053622,John /England/
Person-I654053623,Vesta Zipporah /Choate/
Person-I654053624,James /England/
Person-I654053625,William /England/
Person-I654053626,Samuel /England/
Person-I654053627,John /England/
Person-I654053628,Vesta Zipporah /England/
Person-I654053630,Jane /England/
Person-I654053632,Titus /England/
Person-I654053634,John /England/
Person-I654053635,Sarah B. /England/
Person-I654053637,F. Joseph /England/
Person-I654053639,Susannah /England/
Person-I654053641,Amelia Milly /England/
Person-I654054941,Mary /Watson/
